studentID,group,exam_score_1,exam_score_2
10001,A,80,75
10002,A,50,55
10003,A,60,60
10004,A,70,75
10005,A,80,75
10006,A,10,NaN
10007,A,38,45
10008,A,55,60
10009,A,35,28
10010,A,50,55
10011,A,45,52
10012,A,50,60
10013,A,65,72
10014,A,45,52
10015,A,30,35
10016,A,44,40
10017,A,58,72
10018,A,45,62
10019,A,55,50
10020,A,50,50
10021,A,35,30
10022,A,90,85
10023,A,55,66
10024,A,60,55
10025,A,25,18
10026,B,50,60
10027,B,40,45
10028,B,68,83
10029,B,20,54
10030,B,75,82
10031,B,50,55
10032,B,60,66
10033,B,78,90
10034,B,95,90
10035,B,85,95
10036,B,56,66
10037,B,40,32
10038,B,10,NaN
10039,B,65,72
10040,B,60,55
10041,B,15,NaN
10042,B,70,70
10043,B,36,44
10044,B,70,62
10045,B,30,55
10046,B,90,95
10047,B,75,65
10048,B,15,NaN
10049,B,66,60
10050,B,85,88
