ID,salary,gender,location
10001,10370,Male,Tokyo
10002,3210,Male,Nagoya
10003,4080,Female,Tokyo
10004,5500,Female,Tokyo
10005,3080,Male,Osaka
10006,4650,Male,Osaka
10007,6980,Female,Osaka
10008,6810,Female,Osaka
10009,3350,Male,Osaka
10010,4570,Female,Tokyo
10011,5670,Female,Osaka
10012,5200,Female,Osaka
10013,4670,Female,Tokyo
10014,4110,Female,Tokyo
10015,6520,Male,Osaka
10016,3700,Male,Tokyo
10017,4910,Male,Nagoya
10018,2920,Male,Tokyo
10019,3150,Male,Osaka
10020,6030,Female,Tokyo
10021,2620,Male,Tokyo
10022,4180,Male,Nagoya
10023,2790,Male,Tokyo
10024,3940,Male,Osaka
10025,4650,Female,Nagoya
10026,2890,Male,Nagoya
10027,4060,Male,Nagoya
10028,3310,Female,Tokyo
10029,3580,Male,Osaka
10030,2190,Male,Tokyo
10031,2750,Male,Tokyo
10032,5280,Male,Osaka
10033,4660,Male,Nagoya
10034,4100,Female,Tokyo
10035,6390,Male,Osaka
10036,4520,Female,Osaka
10037,3140,Male,Tokyo
10038,7410,Male,Tokyo
10039,4420,Male,Tokyo
10040,4840,Female,Nagoya
10041,4700,Female,Tokyo
10042,3410,Male,Tokyo
10043,4600,Male,Osaka
10044,3670,Male,Osaka
10045,4930,Female,Osaka
10046,4990,Female,Osaka
10047,4380,Male,Osaka
10048,4110,Female,Nagoya
10049,2310,Male,Osaka
10050,5390,Male,Tokyo
10051,4400,Male,Tokyo
10052,3670,Male,Tokyo
10053,3160,Male,Nagoya
10054,3310,Male,Osaka
10055,3190,Male,Tokyo
10056,2950,Male,Tokyo
10057,4540,Female,Tokyo
10058,2470,Male,Tokyo
10059,4670,Female,Tokyo
10060,3660,Male,Tokyo
10061,6220,Female,Nagoya
10062,3770,Male,Osaka
10063,4780,Female,Tokyo
10064,5210,Male,Tokyo
10065,2760,Male,Tokyo
10066,4390,Female,Tokyo
10067,3660,Female,Nagoya
10068,3950,Male,Tokyo
10069,5360,Female,Tokyo
10070,11260,Female,Tokyo
10071,4190,Female,Tokyo
10072,2690,Male,Tokyo
10073,3090,Male,Osaka
10074,2490,Female,Tokyo
10075,3210,Male,Tokyo
10076,3360,Male,Tokyo
10077,4300,Female,Tokyo
10078,2450,Female,Tokyo
10079,2850,Female,Osaka
10080,3910,Female,Tokyo
10081,4660,Male,Tokyo
10082,4300,Female,Tokyo
10083,4910,Male,Nagoya
10084,4740,Male,Nagoya
10085,3150,Female,Tokyo
10086,4730,Female,Tokyo
10087,3120,Female,Osaka
10088,4540,Male,Nagoya
10089,4740,Female,Tokyo
10090,4660,Male,Nagoya
10091,5650,Male,Tokyo
10092,4310,Female,Tokyo
10093,3820,Male,Nagoya
10094,6570,Male,Osaka
10095,3640,Male,Tokyo
10096,4950,Female,Tokyo
10097,3990,Male,Osaka
10098,3950,Male,Nagoya
10099,5000,Female,Osaka
10100,3650,Male,Nagoya
