Index,Country code,Reference date (as of 1 July),0-14,15-64,65+
15,900,2020, 1 983 649, 5 083 544,  727 606
30,1803,2020,...,...,...
45,901,2020,  208 457,  819 200,  245 648
60,902,2020, 1 775 192, 4 264 344,  481 959
75,941,2020,  410 458,  609 016,  37 964
90,934,2020, 1 364 734, 3 655 328,  443 995
105,948,2020, 1 516 189, 3 229 538,  304 480
120,1636,2020,  207 505,  305 405,  20 233
135,1637,2020,  18 407,  47 207,  6 462
150,1802,2020,...,...,...
165,1503,2020,  210 166,  821 117,  231 810
180,1517,2020, 1 452 269, 3 831 000,  469 782
195,1502,2020,  541 604, 1 825 644,  287 568
210,1501,2020,  910 665, 2 005 356,  182 214
225,1500,2020,  320 497,  429 535,  25 679
240,1518,2020,   716,  1 892,   335
255,1840,2020,...,...,...
270,903,2020,  540 830,  752 672,  47 096
285,935,2020, 1 089 632, 3 139 819,  411 603
300,908,2020,  120 070,  484 660,  142 906
315,904,2020,  156 252,  439 059,  58 651
330,905,2020,  66 786,  240 181,  61 903
345,909,2020,  10 078,  27 152,  5 448
360,1828,2020,...,...,...
375,947,2020,  460 344,  601 137,  32 885
390,910,2020,  186 199,  246 156,  13 050
405,108,2020,  5 381,  6 227,   283
420,174,2020,   339,   503,   27
435,262,2020,   286,   656,   47
450,232,2020,  1 458,  1 928,   160
465,231,2020,  45 891,  65 007,  4 066
480,404,2020,  20 750,  31 672,  1 349
495,450,2020,  11 094,  15 739,   859
510,454,2020,  8 224,  10 400,   505
525,480,2020,   213,   899,   159
540,175,2020,   106,   155,   11
555,508,2020,  13 772,  16 589,   894
570,638,2020,   200,   581,   114
585,646,2020,  5 113,  7 435,   404
600,690,2020,   23,   67,   8
615,706,2020,  7 335,  8 097,   461
630,728,2020,  4 626,  6 192,   375
645,800,2020,  21 048,  23 785,   908
660,834,2020,  26 017,  32 138,  1 579
675,894,2020,  8 092,  9 900,   392
690,716,2020,  6 229,  8 186,   448
705,911,2020,  80 883,  93 751,  4 961
720,24,2020,  15 248,  16 898,   720
735,120,2020,  11 166,  14 659,   721
750,140,2020,  2 103,  2 592,   135
765,148,2020,  7 636,  8 379,   410
780,178,2020,  2 277,  3 088,   152
795,180,2020,  41 015,  45 843,  2 704
810,226,2020,   516,   854,   33
825,266,2020,   829,  1 318,   79
840,678,2020,   92,   121,   7
855,913,2020,  19 928,  43 958,  3 617
870,72,2020,   786,  1 460,   106
885,748,2020,   434,   679,   47
900,426,2020,   691,  1 346,   106
915,516,2020,   936,  1 514,   91
930,710,2020,  17 082,  38 960,  3 268
945,914,2020,  173 334,  217 272,  11 255
960,204,2020,  5 085,  6 641,   397
975,854,2020,  9 275,  11 124,   504
990,132,2020,   156,   373,   27
1005,384,2020,  10 949,  14 669,   760
1020,270,2020,  1 062,  1 293,   61
1035,288,2020,  11 538,  18 559,   976
1050,324,2020,  5 654,  7 092,   388
1065,624,2020,   825,  1 086,   57
1080,430,2020,  2 042,  2 848,   168
1095,466,2020,  9 519,  10 230,   502
1110,478,2020,  1 845,  2 657,   148
1125,562,2020,  12 024,  11 554,   628
1140,566,2020,  89 645,  110 850,  5 644
1155,686,2020,  7 132,  9 092,   520
1170,694,2020,  3 218,  4 525,   234
1185,768,2020,  3 364,  4 674,   240
1200,1833,2020,  159 085,  336 219,  30 566
1215,912,2020,  80 486,  151 535,  14 212
1230,12,2020,  13 499,  27 395,  2 957
1245,818,2020,  34 713,  62 165,  5 456
1260,434,2020,  1 909,  4 651,   311
1275,504,2020,  9 880,  24 223,  2 808
1290,729,2020,  17 452,  24 786,  1 611
1305,788,2020,  2 871,  7 899,  1 049
1320,732,2020,   162,   415,   20
1335,922,2020,  78 599,  184 684,  16 354
1350,51,2020,   617,  1 996,   350
1365,31,2020,  2 384,  7 071,   684
1380,48,2020,   311,  1 345,   45
1395,196,2020,   200,   833,   174
1410,268,2020,   807,  2 574,   608
1425,368,2020,  15 169,  23 668,  1 385
1440,376,2020,  2 409,  5 172,  1 075
1455,400,2020,  3 352,  6 448,   403
1470,414,2020,   917,  3 224,   130
1485,422,2020,  1 711,  4 599,   515
1500,512,2020,  1 148,  3 830,   128
1515,634,2020,   393,  2 439,   49
1530,682,2020,  8 598,  24 998,  1 218
1545,275,2020,  1 957,  2 980,   164
1560,760,2020,  5 386,  11 262,   853
1575,792,2020,  20 193,  56 572,  7 575
1590,784,2020,  1 465,  8 300,   125
1605,887,2020,  11 582,  17 370,   874
1620,921,2020,  555 475, 1 335 598,  123 636
1635,5500,2020,  22 653,  47 700,  3 986
